"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "JavaScript JSX", "PostCSS", "JSON with Comments", "XML", "comment", "blank", "total"
"d:\Matteo\Desktop\Progetti\scaletta\src\services\notifications.js", "JavaScript", 0, 389, 0, 0, 0, 0, 0, 0, 104, 70, 563
"d:\Matteo\Desktop\Progetti\scaletta\src\services\pdfs.js", "JavaScript", 0, 118, 0, 0, 0, 0, 0, 0, 43, 19, 180
"d:\Matteo\Desktop\Progetti\scaletta\src\services\photos.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 0, 36, 17, 170
"d:\Matteo\Desktop\Progetti\scaletta\src\services\projects.js", "JavaScript", 0, 390, 0, 0, 0, 0, 0, 0, 208, 79, 677
"d:\Matteo\Desktop\Progetti\scaletta\src\utils\authValidation.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 1, 5, 37
"d:\Matteo\Desktop\Progetti\scaletta\src\utils\groupValidation.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 14, 10, 47
"d:\Matteo\Desktop\Progetti\scaletta\src\utils\notificationInit.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 13, 9, 80
"d:\Matteo\Desktop\Progetti\scaletta\src\utils\projectColors.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 20, 4, 92
"d:\Matteo\Desktop\Progetti\scaletta\src\utils\projectStatuses.js", "JavaScript", 0, 122, 0, 0, 0, 0, 0, 0, 23, 13, 158
"d:\Matteo\Desktop\Progetti\scaletta\src\utils\projectValidation.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 8, 6, 27
"d:\Matteo\Desktop\Progetti\scaletta\vite.config.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 2, 2, 24
"Total", "-", 12822, 2934, 36, 3181, 10526, 205, 27, 2, 2453, 2872, 35058
